Roll Pitch Yaw X Y Z
0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.0000000 0.0000000 0.0000000 0.3000000 0.0000000 0.0000000
0.0000000 0.0000000 0.0000000 0.0000000 60.300000 0.0000000
0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 150.000000
0.4000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.0000000 0.4000000 0.0000000 0.0000000 0.0000000 0.0000000
0.0000000 0.0000000 0.4000000 0.0000000 0.0000000 0.0000000
0.0988734 0.1274833 -0.1171855 248.0255137 79.4155477 29.2621215
-0.0695868 0.0147283 0.1437300 278.9331211 -205.4321510 291.1778345
0.1436232 -0.0045944 0.0943359 -214.8681968 -46.9432304 274.7206576
0.0917996 0.1443538 0.0489274 -278.5729929 209.4775835 280.1979743
0.0561513 0.0809715 0.0763823 -64.6637883 93.2867341 51.3560063
0.0647313 -0.1470790 -0.0700817 -272.2971656 -241.7209313 247.0373485
0.0612072 -0.0574599 0.1414414 -279.3323517 -36.7533842 114.4675371
0.0834146 0.0927398 -0.0983719 -6.1413625 -32.6482796 193.8939030
0.0657739 0.0800122 -0.0703638 107.8216061 93.0588024 48.7835206
-0.1196954 -0.0005139 0.1444328 -95.7685640 51.1606506 67.1435818
0.0789379 -0.0769391 0.0018715 119.4460336 234.5419515 287.7874276
0.0148332 -0.1135295 -0.1101775 -145.4950475 204.4303536 76.2846537
0.0987355 -0.0805740 0.1348571 -90.0097404 -182.0428497 75.3251574
1.9774672 2.5496659 -2.3437110 248.0255137 79.4155477 29.2621215
-1.3917367 0.2945653 2.8746002 278.9331211 -205.4321510 291.1778345
2.8724647 -0.0918875 1.8867178 -214.8681968 -46.9432304 274.7206576
1.8359928 2.8870761 0.9785477 -278.5729929 209.4775835 280.1979743
1.1230261 1.6194290 1.5276464 -64.6637883 93.2867341 51.3560063
1.2946258 -2.9415810 -1.4016342 -272.2971656 -241.7209313 247.0373485
1.2241443 -1.1491979 2.8288286 -279.3323517 -36.7533842 114.4675371
1.6682912 1.8547957 -1.9674375 -6.1413625 -32.6482796 193.8939030
1.3154780 1.6002436 -1.4072759 107.8216061 93.0588024 48.7835206
-2.3939082 -0.0102790 2.8886565 -95.7685640 51.1606506 67.1435818
-0.8238245 0.9673971 -1.0374917 1649.4627883 1903.8193239 2606.0841161
-0.8703555 -0.2098947 -0.5029263 1800.4108813 -411.5170352 2731.9427833
-0.6663380 -0.4946900 -0.7423814 -2183.5886477 2215.7532458 1739.1137621
0.1044270 -0.7436049 0.7393866 732.3307889 -894.2857146 1539.7486196
-0.2056528 -0.8880933 -0.5447183 -2260.0863910 -1896.5532703 719.8575770
-0.1732754 -0.9432016 0.8434466 2668.7231383 -54.8154452 1467.7579152
-0.3398797 0.8378708 -0.2738489 -2332.7834682 1681.5124099 1169.2165109
-0.5410005 -0.2012459 -0.8451837 -2208.1602444 2652.3035447 2868.4036207
0.1575165 -0.9219956 -0.5554757 -881.0485727 1927.1642412 46.2103130
-0.9570887 -0.6932657 0.3123067 1390.3343140 886.4757788 1352.7711193
0.0984552 -0.4265847 0.5124834 -1866.2699098 1120.6526002 550.5334672
-0.2754452 0.2630949 0.5869070 -2513.2453868 2576.3158258 2327.1380358
-0.0276635 -0.1343375 -0.1114559 -1161.9031679 51.0519323 1532.3146925
0.6652379 0.6174935 0.3022592 -728.3437040 1869.4827497 1598.4767664
-0.3126364 0.9194427 0.7873728 300.9380574 734.8505160 1761.1341136
-0.6121031 -0.4162687 -0.0608980 -1617.0710387 2065.8527562 584.2928687
-0.5740281 -0.6896675 -0.5703786 -385.8078954 -1133.3862801 2770.1389263
-0.1461733 -0.6601192 0.8479807 2878.4902701 -366.7801612 333.3576703
-0.5067081 -0.1911767 0.1987499 -1426.7295133 617.0585363 2133.6473413
-0.5827723 -0.8012786 -0.4258411 -1087.3301884 -454.9994417 1523.5748540
