Roll Pitch Yaw X Y Z
-2.7143815 -1.5406989 -1.7339076 33.5665454 68.8784313 68.8924823
1.7625570 1.1016439 -3.0993991 20.4340975 -22.6457611 183.1982488
-3.1343603 -0.2359389 -0.4753290 -7.8167268 54.0319457 64.4943614
1.7890698 -0.1799683 -2.9168888 -64.8251169 44.3516067 94.6971986
-2.1820171 -0.9982435 0.6747463 -61.6509489 47.6853680 48.5699197
2.6227545 -1.4510288 1.6681858 -62.2676046 -42.5003654 18.2226927
0.4788377 1.1521052 0.2927532 -14.8542316 28.8885563 129.5235260
1.1247954 0.8531731 2.7971114 -58.2130155 41.8563405 47.2461154
-2.3914039 0.6742105 -0.3132941 -8.2549013 32.3889504 154.0571030
-0.9411080 1.0179363 -0.5267911 68.3858305 66.5833638 51.2881984
